Date,Active_Lever_Presses,Inactive_Lever_Presses,Session_Number,Stage,Animal.ID,Genotype,Drug,Dose
2018-09-24,446,4,23,FR5,69,WT,,
2018-09-25,814,30,3,PR 2HR + ATO,69,WT,Saline,0
2018-07-23,24,0,1,FR1 SL,72,WT,,
2018-07-24,37,0,2,FR1 SL,72,WT,,
2018-07-25,113,0,3,FR1 SL,72,WT,,
2018-07-26,79,0,4,FR1 SL,72,WT,,
2018-07-27,80,3,1,FR1 DL,72,WT,,
2018-07-30,75,8,2,FR1 DL,72,WT,,
2018-07-31,87,1,3,FR1 DL,72,WT,,
2018-08-01,68,1,4,FR1 DL,72,WT,,
2018-08-02,93,6,1,FR3,72,WT,,
2018-08-03,132,8,2,FR3,72,WT,,
2018-08-06,118,2,3,FR3,72,WT,,
2018-08-07,200,1,4,FR3,72,WT,,
2018-08-08,264,4,1,FR5,72,WT,,
2018-08-09,246,2,2,FR5,72,WT,,
2018-08-10,199,2,3,FR5,72,WT,,
2018-08-13,205,1,4,FR5,72,WT,,
2018-08-14,115,0,1,FR5 DEVAL,72,WT,,
2018-08-15,218,2,5,FR5,72,WT,,
2018-08-16,241,3,6,FR5,72,WT,,
2018-08-17,105,2,2,FR5 DEVAL,72,WT,,
2018-08-20,236,1,7,FR5,72,WT,,
2018-08-21,215,3,8,FR5,72,WT,,
2018-08-22,146,2,9,FR5,72,WT,,
2018-08-23,214,3,10,FR5,72,WT,,
2018-08-24,332,1,11,FR5,72,WT,,
2018-08-27,277,3,12,FR5,72,WT,,
2018-08-28,619,6,1,PR 2HR,72,WT,,
2018-08-29,147,0,13,FR5,72,WT,,
2018-08-30,443,5,2,PR 2HR,72,WT,,
2018-08-31,256,2,14,FR5,72,WT,,
2018-09-03,270,2,15,FR5,72,WT,,
2018-09-04,435,1,3,PR 2HR,72,WT,,
2018-09-05,149,2,16,FR5,72,WT,,
2018-09-06,191,6,1,PR DL/FR5 DL,72,WT,,
2018-09-07,345,5,2,FR5 DL/PR DL,72,WT,,
2018-09-10,121,1,17,FR5,72,WT,,
2018-09-11,323,0,1,PR 2HR + ATO,72,WT,ATO,3
2018-09-12,171,1,18,FR5,72,WT,,
2018-09-13,445,3,4,PR 2HR,72,WT,,
2018-09-14,180,2,19,FR5,72,WT,,
2018-09-17,205,3,20,FR5,72,WT,,
